Infinitive,объясни́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,объясни́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,объясни́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,объясню́сь
2nd Sing,объясни́шься
3rd Sing,объясни́тся
1st Pl,объясни́мся
2nd Pl,объясни́тесь
3rd Pl,объясня́тся
Past M,объясни́лся
Past F,объясни́лась
Past N,объясни́лось
Past PL,объясни́лись
Imp S,объясни́сь
Imp PL,объясни́тесь
