Infinitive,обвиня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обвиня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обвиня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обвиня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обвиня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обвиня́юсь
2nd Sing,обвиня́ешься
3rd Sing,обвиня́ется
1st Pl,обвиня́емся
2nd Pl,обвиня́етесь
3rd Pl,обвиня́ются
Past M,обвиня́лся
Past F,обвиня́лась
Past N,обвиня́лось
Past PL,обвиня́лись
Imp S,обвиня́йся
Imp PL,обвиня́йтесь
