Infinitive,обворова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обворова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обворо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обворова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обворова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обвору́ю
2nd Sing,обвору́ешь
3rd Sing,обвору́ет
1st Pl,обвору́ем
2nd Pl,обвору́ете
3rd Pl,обвору́ют
Past M,обворова́л
Past F,обворова́ла
Past N,обворова́ло
Past PL,обворова́ли
Imp S,обвору́й
Imp PL,обвору́йте
