Infinitive,обре́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обрёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обречённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обрёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обреку́
2nd Sing,обречёшь
3rd Sing,обречёт
1st Pl,обречём
2nd Pl,обречёте
3rd Pl,обреку́т
Past M,обрёк
Past F,обрекла́
Past N,обрекло́
Past PL,обрекли́
Imp S,обреки́
Imp PL,обреки́те
