Infinitive,обдели́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обдели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обделённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обдели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обдели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обделю́
2nd Sing,обде́лишь
3rd Sing,обде́лит
1st Pl,обде́лим
2nd Pl,обде́лите
3rd Pl,обде́лят
Past M,обдели́л
Past F,обдели́ла
Past N,обдели́ло
Past PL,обдели́ли
Imp S,обдели́
Imp PL,обдели́те
