Infinitive,обступи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обступи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обсту́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обступи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обступи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обступлю́
2nd Sing,обсту́пишь
3rd Sing,обсту́пит
1st Pl,обсту́пим
2nd Pl,обсту́пите
3rd Pl,обсту́пят
Past M,обступи́л
Past F,обступи́ла
Past N,обступи́ло
Past PL,обступи́ли
Imp S,обступи́
Imp PL,обступи́те
