Infinitive,обнару́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обнару́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнару́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обнару́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обнару́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обнару́живаюсь
2nd Sing,обнару́живаешься
3rd Sing,обнару́живается
1st Pl,обнару́живаемся
2nd Pl,обнару́живаетесь
3rd Pl,обнару́живаются
Past M,обнару́живался
Past F,обнару́живалась
Past N,обнару́живалось
Past PL,обнару́живались
Imp S,обнару́живайся
Imp PL,обнару́живайтесь
