Infinitive,облачи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,облачи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,облачённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,облачи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,облачи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,облачу́
2nd Sing,облачи́шь
3rd Sing,облачи́т
1st Pl,облачи́м
2nd Pl,облачи́те
3rd Pl,облача́т
Past M,облачи́л
Past F,облачи́ла
Past N,облачи́ло
Past PL,облачи́ли
Imp S,облачи́
Imp PL,облачи́те
