Infinitive,облизну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,облизну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,облизну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,облизну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,облизну́
2nd Sing,облизнёшь
3rd Sing,облизнёт
1st Pl,облизнём
2nd Pl,облизнёте
3rd Pl,облизну́т
Past M,облизну́л
Past F,облизну́ла
Past N,облизну́ло
Past PL,облизну́ли
Imp S,облизни́
Imp PL,облизни́те
