Infinitive,обыска́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обыска́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обы́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обыска́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обыска́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обыщу́
2nd Sing,обы́щешь
3rd Sing,обы́щет
1st Pl,обы́щем
2nd Pl,обы́щете
3rd Pl,обы́щут
Past M,обыска́л
Past F,обыска́ла
Past N,обыска́ло
Past PL,обыска́ли
Imp S,обыщи́
Imp PL,обыщи́те
