Infinitive,ободри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ободри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ободрённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ободри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ободри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ободрю́
2nd Sing,ободри́шь
3rd Sing,ободри́т
1st Pl,ободри́м
2nd Pl,ободри́те
3rd Pl,ободря́т
Past M,ободри́л
Past F,ободри́ла
Past N,ободри́ло
Past PL,ободри́ли
Imp S,ободри́
Imp PL,ободри́те
