Infinitive,обыгра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обыгра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обы́гранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обыгра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обыгра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обыгра́ю
2nd Sing,обыгра́ешь
3rd Sing,обыгра́ет
1st Pl,обыгра́ем
2nd Pl,обыгра́ете
3rd Pl,обыгра́ют
Past M,обыгра́л
Past F,обыгра́ла
Past N,обыгра́ло
Past PL,обыгра́ли
Imp S,обыгра́й
Imp PL,обыгра́йте
