Infinitive,обезопа́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обезопа́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обезопа́сенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обезопа́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обезопа́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обезопа́шу
2nd Sing,обезопа́сишь
3rd Sing,обезопа́сит
1st Pl,обезопа́сим
2nd Pl,обезопа́сите
3rd Pl,обезопа́сят
Past M,обезопа́сил
Past F,обезопа́сила
Past N,обезопа́сило
Past PL,обезопа́сили
Imp S,обезопа́сь
Imp PL,обезопа́сьте
