Infinitive,обольща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обольща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обольща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обольща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обольща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обольща́юсь
2nd Sing,обольща́ешься
3rd Sing,обольща́ется
1st Pl,обольща́емся
2nd Pl,обольща́етесь
3rd Pl,обольща́ются
Past M,обольща́лся
Past F,обольща́лась
Past N,обольща́лось
Past PL,обольща́лись
Imp S,обольща́йся
Imp PL,обольща́йтесь
