Infinitive,обню́хать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обню́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обню́ханный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обню́хав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обню́хавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обню́хаю
2nd Sing,обню́хаешь
3rd Sing,обню́хает
1st Pl,обню́хаем
2nd Pl,обню́хаете
3rd Pl,обню́хают
Past M,обню́хал
Past F,обню́хала
Past N,обню́хало
Past PL,обню́хали
Imp S,обню́хай
Imp PL,обню́хайте
