Infinitive,обзвони́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обзвони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обзвони́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обзвони́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обзвоню́
2nd Sing,обзвони́шь
3rd Sing,обзвони́т
1st Pl,обзвони́м
2nd Pl,обзвони́те
3rd Pl,обзвоня́т
Past M,обзвони́л
Past F,обзвони́ла
Past N,обзвони́ло
Past PL,обзвони́ли
Imp S,обзвони́
Imp PL,обзвони́те
