Infinitive,обману́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обману́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обма́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обману́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обману́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обману́
2nd Sing,обма́нешь
3rd Sing,обма́нет
1st Pl,обма́нем
2nd Pl,обма́нете
3rd Pl,обма́нут
Past M,обману́л
Past F,обману́ла
Past N,обману́ло
Past PL,обману́ли
Imp S,обмани́
Imp PL,обмани́те
