Infinitive,обузда́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обузда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обу́зданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обузда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обузда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обузда́ю
2nd Sing,обузда́ешь
3rd Sing,обузда́ет
1st Pl,обузда́ем
2nd Pl,обузда́ете
3rd Pl,обузда́ют
Past M,обузда́л
Past F,обузда́ла
Past N,обузда́ло
Past PL,обузда́ли
Imp S,обузда́й
Imp PL,обузда́йте
