Infinitive,обвяза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обвяза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обвя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обвяза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обвяза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обвяжу́
2nd Sing,обвя́жешь
3rd Sing,обвя́жет
1st Pl,обвя́жем
2nd Pl,обвя́жете
3rd Pl,обвя́жут
Past M,обвяза́л
Past F,обвяза́ла
Past N,обвяза́ло
Past PL,обвяза́ли
Imp S,обвяжи́
Imp PL,обвяжи́те
