Infinitive,обру́шиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обру́шившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обру́шившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обру́шусь
2nd Sing,обру́шишься
3rd Sing,обру́шится
1st Pl,обру́шимся
2nd Pl,обру́шитесь
3rd Pl,обру́шатся
Past M,обру́шился
Past F,обру́шилась
Past N,обру́шилось
Past PL,обру́шились
Imp S,обру́шься
Imp PL,обру́шьтесь
