Infinitive,обезу́меть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обезу́мевший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обезу́мев
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обезу́мевши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обезу́мею
2nd Sing,обезу́меешь
3rd Sing,обезу́меет
1st Pl,обезу́меем
2nd Pl,обезу́меете
3rd Pl,обезу́меют
Past M,обезу́мел
Past F,обезу́мела
Past N,обезу́мело
Past PL,обезу́мели
Imp S,обезу́мей
Imp PL,обезу́мейте
