Infinitive,обстре́ливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обстре́ливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обстре́ливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обстре́ливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обстре́ливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,обстре́ливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,обстре́ливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,обстре́ливаю
2nd Sing,обстре́ливаешь
3rd Sing,обстре́ливает
1st Pl,обстре́ливаем
2nd Pl,обстре́ливаете
3rd Pl,обстре́ливают
Past M,обстре́ливал
Past F,обстре́ливала
Past N,обстре́ливало
Past PL,обстре́ливали
Imp S,обстре́ливай
Imp PL,обстре́ливайте
