Infinitive,обложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обложу́
2nd Sing,обло́жишь
3rd Sing,обло́жит
1st Pl,обло́жим
2nd Pl,обло́жите
3rd Pl,обло́жат
Past M,обложи́л
Past F,обложи́ла
Past N,обложи́ло
Past PL,обложи́ли
Imp S,обложи́
Imp PL,обложи́те
