Infinitive,обстоя́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,обстоя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обстоя́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обстоя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обстоя́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,обстоя́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,обстою́
2nd Sing,обстои́шь
3rd Sing,обстои́т
1st Pl,обстои́м
2nd Pl,обстои́те
3rd Pl,обстоя́т
Past M,обстоя́л
Past F,обстоя́ла
Past N,обстоя́ло
Past PL,обстоя́ли
Imp S,обсто́й
Imp PL,обсто́йте
