Infinitive,обнаро́довать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обнаро́довавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнаро́дованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обнаро́довав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обнаро́довавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обнаро́дую
2nd Sing,обнаро́дуешь
3rd Sing,обнаро́дует
1st Pl,обнаро́дуем
2nd Pl,обнаро́дуете
3rd Pl,обнаро́дуют
Past M,обнаро́довал
Past F,обнаро́довала
Past N,обнаро́довало
Past PL,обнаро́довали
Imp S,обнаро́дуй
Imp PL,обнаро́дуйте
