Infinitive,обнару́житься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обнару́жившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обнару́жившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обнару́жусь
2nd Sing,обнару́жишься
3rd Sing,обнару́жится
1st Pl,обнару́жимся
2nd Pl,обнару́житесь
3rd Pl,обнару́жатся
Past M,обнару́жился
Past F,обнару́жилась
Past N,обнару́жилось
Past PL,обнару́жились
Imp S,обнару́жься
Imp PL,обнару́жьтесь
