Infinitive,обоснова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обоснова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обоснова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обосну́юсь
2nd Sing,обосну́ешься
3rd Sing,обосну́ется
1st Pl,обосну́емся
2nd Pl,обосну́етесь
3rd Pl,обосну́ются
Past M,обоснова́лся
Past F,обоснова́лась
Past N,обоснова́лось
Past PL,обоснова́лись
Imp S,обосну́йся
Imp PL,обосну́йтесь
