Infinitive,обмо́лвиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обмо́лвившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обмо́лвившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,обмо́лвлюсь
2nd Sing,обмо́лвишься
3rd Sing,обмо́лвится
1st Pl,обмо́лвимся
2nd Pl,обмо́лвитесь
3rd Pl,обмо́лвятся
Past M,обмо́лвился
Past F,обмо́лвилась
Past N,обмо́лвилось
Past PL,обмо́лвились
Imp S,обмо́лвись
Imp PL,обмо́лвитесь
