Infinitive,обожда́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обожда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обожда́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,обожда́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,обожду́
2nd Sing,обождёшь
3rd Sing,обождёт
1st Pl,обождём
2nd Pl,обождёте
3rd Pl,обожду́т
Past M,обожда́л
Past F,обождала́
Past N,обожда́ло
Past PL,обожда́ли
Imp S,обожди́
Imp PL,обожди́те
