Infinitive,обру́шиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,обру́шивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,обру́шивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обру́шиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,обру́шивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обру́шиваюсь
2nd Sing,обру́шиваешься
3rd Sing,обру́шивается
1st Pl,обру́шиваемся
2nd Pl,обру́шиваетесь
3rd Pl,обру́шиваются
Past M,обру́шивался
Past F,обру́шивалась
Past N,обру́шивалось
Past PL,обру́шивались
Imp S,обру́шивайся
Imp PL,обру́шивайтесь
