Infinitive,обласка́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обласка́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обла́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обласка́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обласка́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обласка́ю
2nd Sing,обласка́ешь
3rd Sing,обласка́ет
1st Pl,обласка́ем
2nd Pl,обласка́ете
3rd Pl,обласка́ют
Past M,обласка́л
Past F,обласка́ла
Past N,обласка́ло
Past PL,обласка́ли
Imp S,обласка́й
Imp PL,обласка́йте
