Infinitive,обездо́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,обездо́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,обездо́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,обездо́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,обездо́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,обездо́лю
2nd Sing,обездо́лишь
3rd Sing,обездо́лит
1st Pl,обездо́лим
2nd Pl,обездо́лите
3rd Pl,обездо́лят
Past M,обездо́лил
Past F,обездо́лила
Past N,обездо́лило
Past PL,обездо́лили
Imp S,обездо́ль
Imp PL,обездо́льте
