Infinitive,цити́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,цити́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,цити́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,цити́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,цити́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,цити́руюсь
2nd Sing,цити́руешься
3rd Sing,цити́руется
1st Pl,цити́руемся
2nd Pl,цити́руетесь
3rd Pl,цити́руются
Past M,цити́ровался
Past F,цити́ровалась
Past N,цити́ровалось
Past PL,цити́ровались
Imp S,цити́руйся
Imp PL,цити́руйтесь
