Infinitive,циркули́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,циркули́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,циркули́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,циркули́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,циркули́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,циркули́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,циркули́рую
2nd Sing,циркули́руешь
3rd Sing,циркули́рует
1st Pl,циркули́руем
2nd Pl,циркули́руете
3rd Pl,циркули́руют
Past M,циркули́ровал
Past F,циркули́ровала
Past N,циркули́ровало
Past PL,циркули́ровали
Imp S,циркули́руй
Imp PL,циркули́руйте
