Infinitive,жире́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,жире́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жире́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жире́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,жире́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,жире́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,жире́ю
2nd Sing,жире́ешь
3rd Sing,жире́ет
1st Pl,жире́ем
2nd Pl,жире́ете
3rd Pl,жире́ют
Past M,жире́л
Past F,жире́ла
Past N,жире́ло
Past PL,жире́ли
Imp S,жире́й
Imp PL,жире́йте
