Infinitive,явля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,явля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,явля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,явля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,явля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,явля́юсь
2nd Sing,явля́ешься
3rd Sing,явля́ется
1st Pl,явля́емся
2nd Pl,явля́етесь
3rd Pl,явля́ются
Past M,явля́лся
Past F,явля́лась
Past N,явля́лось
Past PL,явля́лись
Imp S,явля́йся
Imp PL,явля́йтесь
