Infinitive,я́вствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,я́вствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,я́вствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,я́вствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,я́вствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,я́вствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,я́вствую
2nd Sing,я́вствуешь
3rd Sing,я́вствует
1st Pl,я́вствуем
2nd Pl,я́вствуете
3rd Pl,я́вствуют
Past M,я́вствовал
Past F,я́вствовала
Past N,я́вствовало
Past PL,я́вствовали
Imp S,я́вствуй
Imp PL,я́вствуйте
