Infinitive,яви́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,яви́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,яви́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,явлю́сь
2nd Sing,я́вишься
3rd Sing,я́вится
1st Pl,я́вимся
2nd Pl,я́витесь
3rd Pl,я́вятся
Past M,яви́лся
Past F,яви́лась
Past N,яви́лось
Past PL,яви́лись
Imp S,яви́сь
Imp PL,яви́тесь
