Infinitive,нужда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нужда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нужда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нужда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нужда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нужда́юсь
2nd Sing,нужда́ешься
3rd Sing,нужда́ется
1st Pl,нужда́емся
2nd Pl,нужда́етесь
3rd Pl,нужда́ются
Past M,нужда́лся
Past F,нужда́лась
Past N,нужда́лось
Past PL,нужда́лись
Imp S,нужда́йся
Imp PL,нужда́йтесь
