Infinitive,му́чить
Zaliznyak Class,4a // 1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,му́чащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,му́чающий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,му́чивший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,му́чимый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,short
PART:4:Participle Text,му́чаемый
PART:4:Participle Type,passive
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,му́ченный
PART:5:Participle Type,passive
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
PART:6:Participle Text,му́ча
PART:6:Participle Type,adverbial
PART:6:Participle Tense,present
PART:6:Participle Long or Short,short
PART:7:Participle Text,му́чая
PART:7:Participle Type,adverbial
PART:7:Participle Tense,present
PART:7:Participle Long or Short,long
PART:8:Participle Text,му́чив
PART:8:Participle Type,adverbial
PART:8:Participle Tense,past
PART:8:Participle Long or Short,short
PART:9:Participle Text,му́чивши
PART:9:Participle Type,adverbial
PART:9:Participle Tense,past
PART:9:Participle Long or Short,long
1st Sing,му́чу
2nd Sing,му́чишь
3rd Sing,му́чит
1st Pl,му́чим
2nd Pl,му́чите
3rd Pl,му́чат
Past M,му́чил
Past F,му́чила
Past N,му́чило
Past PL,му́чили
Imp S,му́чь
Imp PL,му́чьте
