Infinitive,мудри́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мудря́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мудри́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мудря́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мудри́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,мудри́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,мудрю́
2nd Sing,мудри́шь
3rd Sing,мудри́т
1st Pl,мудри́м
2nd Pl,мудри́те
3rd Pl,мудря́т
Past M,мудри́л
Past F,мудри́ла
Past N,мудри́ло
Past PL,мудри́ли
Imp S,мудри́
Imp PL,мудри́те
