Infinitive,мурлы́кать
Zaliznyak Class,6a // 1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мурлы́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,мурлы́кающий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,мурлы́кавший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,мурлы́ча
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,short
PART:4:Participle Text,мурлы́кая
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,мурлы́кав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,мурлы́кавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,мурлы́чу
2nd Sing,мурлы́чешь
3rd Sing,мурлы́чет
1st Pl,мурлы́чем
2nd Pl,мурлы́чете
3rd Pl,мурлы́чут
Past M,мурлы́кал
Past F,мурлы́кала
Past N,мурлы́кало
Past PL,мурлы́кали
Imp S,мурлы́чь
Imp PL,мурлы́чьте
