Infinitive,куда́хтать
Zaliznyak Class,6a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,куда́хчущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,куда́хтавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,куда́хча
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,куда́хтав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,куда́хтавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,куда́хчу
2nd Sing,куда́хчешь
3rd Sing,куда́хчет
1st Pl,куда́хчем
2nd Pl,куда́хчете
3rd Pl,куда́хчут
Past M,куда́хтал
Past F,куда́хтала
Past N,куда́хтало
Past PL,куда́хтали
Imp S,куда́хчи
Imp PL,куда́хчите
