Infinitive,купи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,купи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ку́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,купи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,купи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,куплю́
2nd Sing,ку́пишь
3rd Sing,ку́пит
1st Pl,ку́пим
2nd Pl,ку́пите
3rd Pl,ку́пят
Past M,купи́л
Past F,купи́ла
Past N,купи́ло
Past PL,купи́ли
Imp S,купи́
Imp PL,купи́те
