Infinitive,ку́таться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ку́тающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ку́тавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ку́таясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ку́тавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ку́таюсь
2nd Sing,ку́таешься
3rd Sing,ку́тается
1st Pl,ку́таемся
2nd Pl,ку́таетесь
3rd Pl,ку́таются
Past M,ку́тался
Past F,ку́талась
Past N,ку́талось
Past PL,ку́тались
Imp S,ку́тайся
Imp PL,ку́тайтесь
