Infinitive,курси́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,курси́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,курси́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,курси́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,курси́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,курси́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,курси́рую
2nd Sing,курси́руешь
3rd Sing,курси́рует
1st Pl,курси́руем
2nd Pl,курси́руете
3rd Pl,курси́руют
Past M,курси́ровал
Past F,курси́ровала
Past N,курси́ровало
Past PL,курси́ровали
Imp S,курси́руй
Imp PL,курси́руйте
