Infinitive,кури́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,куря́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кури́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,куря́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кури́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,курю́сь
2nd Sing,ку́ришься
3rd Sing,ку́рится
1st Pl,ку́римся
2nd Pl,ку́ритесь
3rd Pl,ку́рятся
Past M,кури́лся
Past F,кури́лась
Past N,кури́лось
Past PL,кури́лись
Imp S,кури́сь
Imp PL,кури́тесь
