Infinitive,кукаре́кать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,кукаре́кающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кукаре́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кукаре́кая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кукаре́кав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,кукаре́кавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,кукаре́каю
2nd Sing,кукаре́каешь
3rd Sing,кукаре́кает
1st Pl,кукаре́каем
2nd Pl,кукаре́каете
3rd Pl,кукаре́кают
Past M,кукаре́кал
Past F,кукаре́кала
Past N,кукаре́кало
Past PL,кукаре́кали
Imp S,кукаре́кай
Imp PL,кукаре́кайте
