Infinitive,купа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,купа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,купа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,купа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,купа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,купа́юсь
2nd Sing,купа́ешься
3rd Sing,купа́ется
1st Pl,купа́емся
2nd Pl,купа́етесь
3rd Pl,купа́ются
Past M,купа́лся
Past F,купа́лась
Past N,купа́лось
Past PL,купа́лись
Imp S,купа́йся
Imp PL,купа́йтесь
