Infinitive,кувырка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кувырка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кувырка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кувырка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кувырка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кувырка́юсь
2nd Sing,кувырка́ешься
3rd Sing,кувырка́ется
1st Pl,кувырка́емся
2nd Pl,кувырка́етесь
3rd Pl,кувырка́ются
Past M,кувырка́лся
Past F,кувырка́лась
Past N,кувырка́лось
Past PL,кувырка́лись
Imp S,кувырка́йся
Imp PL,кувырка́йтесь
