спра́шивать/спроси́ть (+a о +pr),to ask (s.o. about sth),"i Он спрашивает о войне | He asks about the war / p Я спросил его, знает ли он Ивана | I asked him whether he knew Ivan",,
без (+g),without,без молока | without milk,,
де́лать/с- (+a),"to do, make",Мы ничего не делаем | We are doing nothing / Он сделал всю работу | He did all the work,,
три,three,три часа | three o’clock/three hours,,
всё,all / all the time,Он всё говорит о работе | He talks about work all the time,,
то,that / then,"то есть / Если он здесь, то я уйду | that is (=i.e.) / If he’s here, then I’ll leave",,
жить/по-,to live / p: live for a while,"i Я хочу жить там, где она живёт | I want to live where she lives / p поживу, поживёшь, past пожил, пожила, пожило",,
труд,labour,с трудом | with difficulty,,
"сам (f сама́, n само́, pl са́ми)",self,Он всё сделал сам | He did everything himself,,
хоро́ший,good,Это хорошее вино | This is good wine,,
второ́й,second,второй день нового года | the second day of the New Year,,
че́рез (+a),"across, via, after",через улицу / через час | across the street / in an hour’s time,,
ме́сто,place,Здесь нет места | There is no place/room here,,
по́сле (+g),after,После работы мы идём домой | After work we go home,,
страна́,country,в нашей стране | in our country,,
два́дцать,twenty,двадцать домов | twenty houses,,
"до́лжен (f должна́, n должно́, pl должны́)","ought, obliged, must",Она должна идти / Мы должны быть там в десять | She must (is obliged to) go / We ought to be there at ten,,
бо́льше,more,Он знает больше / больше хлеба | He knows more / more bread,,
ваш,your,Дом ваш | The house is yours,,
дверь (f),door,за дверью | behind the door,,
друг (pl друзья́),friend,Мы с другом были в Москве | My friend and I were in Moscow,,
маши́на,machine / car,Мы смотрели на вашу машину | We were looking at your car,,
ко́мната,room,В комнате холодно | It’s cold in the room,,
учи́ться (i),to study,Иван учится в университете | Ivan studies at university,,
над (+inst),above,над домом | above the house,,
голова́,head,над вашей головой | above your head,,
почему́,why,Почему вы не знаете? | Why don’t you know?,,
земля́,"earth, land",жизнь на земле | life on earth,,
стол,table,Он сидит за столом | He is sitting behind (at) the table,,
дава́ть/дать (+a +d),to give (sth to s.o.),"Мы даём слово, что всё сделаем | We give (our) word that we shall do everything",,
пе́ред (+inst),"in front of, before",Он стоит перед домом | He is standing in front of the house,,
тогда́,"then, at that time",Он тогда работал на заводе | He worked in a factory then,,
сиде́ть/по-,to sit (p: sit for a while),"Кто сидит в комнате? | Who is sitting in the room? / p посижу, посидишь",,
ма́льчик,boy,В комнате сидят мальчики | The boys are sitting in the room,,
де́вушка,girl,К Ивану пришла девушка | A girl has come to (see) Ivan,,
ле́то (g pl лет),summer / (after numbers) years,"лётом / тысяча лет | in the summer / 1,000 years",,
сего́дня,today,Сегодня надо работать | Today one must work,,
сторона́,side,на этой стороне | on this side,,
совсе́м,completely,Машина совсем новая | The car is completely new,,
ма́ленький,small,Они живут в маленьком доме | They live in a small house,,
не́сколько (+g),"a few, some",несколько девушек | a few girls,,
вдруг,suddenly,Вдруг он спросил о Сталине | Suddenly he asked about Stalin,,
ни,not a,ни ... ни ... / Не было ни одного | neither ... nor ... / There wasn’t a single one,,
лицо́,face / person,Я знаю ваше лицо | I know your face,,
коне́чно,of course,Конечно нет! | Of course not!,,
наро́д,(the) people,русский народ | the Russian people,,
начина́ть/нача́ть,to begin,Мы начинаем понимать | We are beginning to understand / Он начал говорить | He began to speak,,
пять,five,Он живёт здесь уже пять лет | He has been living here for five years already,,
ведь,you know (expecting agreement),"Ведь он мой друг! | He’s my friend, you know!",,
вопро́с,question,трудные вопросы | difficult questions,,
писа́ть/на- (+a),to write,"Мальчик пишет | The boy is writing / я напишу, ты напишешь | I’ll write, you’ll write",,
письмо́,letter,Я пишу письмо | I am writing a letter,,
при (+pr),in the presence / time of / attached to,при мне / при Сталине / при заводе | in my presence / under Stalin / attached to the factory,,
мать (f),mother,машина моей матери | my mother’s car,,
ну́жно,(it is) necessary,Мне нужно идти | I must go,,
смотре́ть/по-,to watch / (на +a) look (at),Она смотрит телевизор | She is watching television / Мы посмотрим фильм / Он посмотрел на меня | We’ll watch the film / He looked at me,,
си́ла,"strength, force",сила характера / демократические силы | strength of character / democratic forces,,
вме́сте,together,Мы пришли вместе | We arrived together,,
выходи́ть/вы́йти,to go out,Она вышла из комнаты | She went out of the room / Я выхожу из дома / Ты тоже выходишь | I leave the house / You leave too,,
люби́ть/по- (+a),"to like, love / p: to fall in love with","Я люблю работать / Она вас любит | I like working / She loves you / p полюблю, полюбишь",,
доро́га,road,по дороге домой | on the road (way) home,,
ста́рый,old,Она любит старые картины | She likes old pictures,,
у́лица,street,Она живёт на нашей улице | She lives in our street,,
реша́ть/реши́ть (+inf/+a),to decide / solve,Она решила уйти / Кто решит задачу? | She decided to leave / Who will solve the problem?,,
кни́га,book,На столе лежат пять книг | There are five books on the table,,
всегда́,always,Всегда так | It is always like that,,
го́лос,voice / vote,Голос у неё хороший | She has a good voice,,
зна́чить (i),to mean,Что это значит? | What does this mean?,,
сра́зу,at once,Она ответила сразу | She answered at once,,
лишь,only (=только),Это лишь одна из причин | That’s only one of the reasons,,
мину́та,minute,Я приду через три минуты | I shall come in three minutes’ time,,
сно́ва,again,Он начал снова | He began again,,
окно́,window,Окно открыто | The window is open,,
бы,would (conditional particle),"Если бы она знала, она бы помогла | If she had known, she would have helped",,
уходи́ть/уйти́,to leave (on foot),Вы уходите? | Are you leaving? / Он ушёл из университета | He has left the university,,
девятьсо́т,nine hundred,тысяча девятьсот пятый год | (the year) 1905,,
после́дний,last,в последней комнате | in the last room,,
проходи́ть/пройти́,"to go through, pass (on foot)",Мы проходили мимо завода | We were walking past a factory / Пройдите в комнату! Она прошла мимо него | Go through into the room! She walked past him,,
оте́ц,father,Она не думает об отце | She doesn’t think about (her) father,,
час,hour,три часа | three hours / three o’clock,,
про́сто,simply,Они просто не знают | They simply don’t know,,
ви́деть/уви́деть,to see,Я увижу её / Она увидела отца | I’ll see her / She saw her father,,
же,emphasizes preceding word,Как же так? / Где же она? тот же дом | But how can that be? / Where on earth is she? / the same house,,
тре́тий,third,Кто живёт в третьей квартире? | Who lives in flat number 3?,,
потому́/потому́ что,that is why because,"Я ушёл, потому что он там | I left because he is there",,
никто́,nobody,Никто не знает | Nobody knows,,
ждать/подожда́ть (+a or g),to wait (for),"я жду / он ждёт / Ждите ответа! | I am waiting / he is waiting / Wait for an answer! /p подожду, подождёшь",,
ско́лько (+g),"how many, how much",Сколько лет? | How many years?,,
высо́кий,"high, tall",высокая девушка | a tall girl,,
лу́чше,better,"Он говорит лучше, чем вы | Не speaks better than you",,
получа́ть/получи́ть (+a),"to receive, get",Ты получишь письмо завтра | You will receive the letter tomorrow,,
почти́,almost,почти год | almost a year,,
лес,"wood, forest",В лесу тихо | It’s quiet in the forest,,
коне́ц,end,конец света / в конце года | the end of the world / at the end of the year,,
нога́,leg / foot,"Ох, мой ноги | Oh, my feet",,
со́бственный,(one’s) own,собственными глазами | with one’s own eyes,,
сто,hundred,сто долларов / больше ста | a hundred dollars / more than a hundred,,
худо́жник,artist,молодые художники | young artists,,
четы́ре,four,четыре времени года | four seasons,,
пока́,while,пока он здесь | while he is here,,
пока́ не,until,пока он не придёт | until he comes,,
слу́шать/по- (+a),to listen to,Он слушает музыку | He is listening to music,,
путь (m),"way, journey",по пути | on the way,,
бе́лый,white,белые дома | white houses,,
респу́блика,republic,федеральная республика | federal republic,,
бы́стро,quickly,Мы шли быстро | We were walking quickly,,
куда́,where (whither),Куда они пошли? | Where have they gone?,,
гла́вный,main,Вот главная улица | Here is the main street,,
де́ти (pl),children,У них нет детей | They have no children,,
расска́зывать/рассказа́ть,"to tell, talk (about)",i Он рассказывал о войне | He was talking about the war / p Я расскажу вам историю / Он рассказал нам о них | I’ll tell you a story / He talked about them,,
сове́т,advice / council,хороший совет | a good piece of advice,,
газе́та,newspaper,Мы читали газету | We were reading the newspaper,,
понима́ть/поня́ть (+a),to understand,Никто не понимает | Nobody understands / Вы меня не поняли | You haven’t understood me,,
по́ра,"it is time / time, season",Пора идти | It is time to go,,
твой,your (familiar),Я получил твоё письмо | I have received your letter,,
быва́ть (i),to be (repeatedly),Он часто бывает здесь | He is often here,,
находи́ть/найти́ (+a),to find,"i: нахожу, находишь / Она нашла книгу? | Did she find the book?",,
пе́сня,song,песня о лёте | a song about summer,,
и́мя (n),(first) name,Как ваше имя? | What is your name? g sg имени,,
па́ртия,party (political),лидер партии | party leader,,
ве́чер,evening,летние вечера | summer evenings,,
опя́ть,again,Почему вы опять здесь? | Why are you here again?,,
име́ть (i) (+a),to have (with non-concrete object),иметь право что-то сделать | to have the right to do something,,
ме́жду (+inst),between,между городом и лесом | between the town and the wood,,
настоя́щий,real / present,настоящий друг / настоящее время | a real friend / the present time,,
план,plan,Какие у вас планы? | What are your plans?,,
пра́вда,truth,Он сказал правду | He told the truth,,
соро́к,forty,сорок человек | forty people,,
ходи́ть/с-,to go there and back,"ходить в школу / Вчера мы ходили в кино / Я ходил по городу | to attend school / We went to the cinema yesterday / I walked round the town / p: схожу, сходишь",,
ходи́ть/пo-,to walk around,ходить в школу / Вчера мы ходили в кино / Я ходил по городу | to attend school / We went to the cinema yesterday / I walked round the town,,
узнава́ть/узна́ть (+a),to recognize / find out,"i узнаю, узнаёшь / Я узнаю её / Мы узнали, где она живёт | I shall recognize her / We found out where she lives",,
по́ле,field,работать в поле | to work in the field,,
ночь (f),night,Спокойной ночи! | Peaceful night (Goodnight),,
входи́ть/войти́,to enter,Входите! | Come in! / я войду / я вошёл | I shall enter / I entered,,
кра́сный,red,Красная площадь | Red Square,,
бо́лее,more,более интересная книга | a more interesting book,,
уро́к,lesson,уроки русского языка | Russian lessons,,
нельзя́,it is not allowed / it is impossible,Вам нельзя курить здесь | You can’t smoke here,,
те́ло,body,части тела | parts of the body,,
ря́дом,alongside,Она сидела рядом со мной | She was sitting next to me,,
лежа́ть/по-,"to lie, (p) lie for a while","i Газета лежит на столе | The paper is lying on the table / p p полежу, полежишь",,
про (+a),about (=о +pr) (coll),Он слышал про эту книгу | Не has heard about this book,,
интере́сный,interesting,интересные друзья | interesting friends,,
никогда́,never,Мы никогда не найдём их | We shall never find them,,
райо́н,region,в этом районе | in this region,,
ну́жный,necessary,"Всё, что нужно | Everything that is necessary",,
осо́бенно,especially,особенно высокий дом | an unusually tall house,,
отвеча́ть/отве́тить,to answer,Он отвечает на вопрос | He answers the question / Я отвечу на вопрос | I shall answer the question,,
нача́льник,"head, boss",Им нельзя говорить с начальником | They can’t speak to the boss,,
ра́зный,"various, different",в разных странах | in various countries,,
три́дцать,thirty,тридцать художников | thirty artists,,
де́сять,ten,в десяти республиках | in ten republics,,
мир,world / peace,мир во всём мире | peace in the whole world,,
карти́на,picture,книга с картинами | a book with pictures,,
комите́т,committee,Центральный комитет | the Central Committee,,
мысль (f),thought,интересная мысль | an interesting thought,,
гость (m),guest,принимать гостей | to receive guests,,
ста́рший,"elder, senior",старший сын | elder son,,
вид,"view, look / species",вид на море / вид спорта | sea view / type of sport,,
среди́ (+g),among,среди друзей | among friends,,
слу́чай,"case, occurrence, chance",В таком случае я пойду к начальнику | In that case I shall go to the boss,,
наро́дный,people’s,народная песня | folk song,,
по́мнить/вс- (+a/о +pr),to remember,Я помню её / Ты помнишь об этом? | I remember her / Do you remember that?,,
проси́ть/по- (+a +inf),"to request, ask (s.o. to do sth)","Прошу вас не курить / Он просит вас зайти | I ask you not to smoke / He asks you to call / p: попрошу, попросишь / Я попросил его войти I asked him to come in",,
пусть,let,"Пусть идёт, если хочет | Let him go if he wants to",,
разгово́р,conversation,разговор о погоде | conversation about the weather,,
двор,"yard, court",сидеть во дворе | to sit in the yard,,
до́лго,for a long time,Она сидела долго | She sat for a long time,,
ме́сяц,month / moon,три месяца / пять месяцев | 3 months / 5 months,,
возвраща́ться/верну́ться,to come back,"p я вернусь, ты вернёшься | I’ll return, you’ll return",,
сою́з,union,профсоюз | trade union,,
война́,war,во время войны | during the war,,
хотя́,although,"Они вернутся, хотя не хотят | They will return although they don’t want to",,
бе́рег,"bank, shore",на берегу / берега реки | on the shore / banks of a river,,
це́лый,whole,Он ничего не делал целый день | He did nothing all day,,
гру́ппа,group,Они вернулись группами | They returned in groups,,
ско́ро,soon,Я скоро вернусь | I shall come back soon,,
студе́нт,student,Разговор со студентами | A talk with the students,,
това́рищ,comrade,школьные товарищи | schoolmates,,
часть (f),part,части света | parts of the world,,
спать/по-,to sleep,"я сплю, ты спишь | I am asleep, you are asleep",,
по́лный,full,жить полной жизнью | to live a full life,,
сюда́,here (hither),Идите сюда! | Come here!,,
приезжа́ть/прие́хать,to arrive (by transport),"Через два месяца он приедет в Лондон | In two months time, he will come to London",,
оно́,it,- Где письмо? - Вот оно | - Where’s the letter? -There it is,,
же́нщина,woman,русские женщины | Russian women,,
собра́ние,"meeting, collection",на собрании | at a meeting,,
подходи́ть/подойти́ (к +d),to approach / (+d) to suit,"i: подхожу, подходишь / Она подошла к нам | She came up to us",,
де́рево (pl дере́вья),tree,деревья / много деревьев | trees / many trees,,
сад,garden,в нашем саду | in our garden,,
чуть,"hardly, just",чуть видно / Он чуть не упал | barely visible / He nearly fell,,
боя́ться (i) (+g),"to fear, be afraid",Я не боюсь | I am not afraid,,
занима́ться (i) (+inst),to occupy oneself,заниматься языками | to study languages,,
па́па (m),dad / Pope,папа римский | the Pope (in Rome),,
по́мощь (f),help,Им нужна помощь | They need help,,
про́шлый,past,в прошлом году | last year,,
пря́мо,"directly, straight",Идите прямо! | Go straight on!,,
лу́чший,better / best,лучший друг / Всего лучшего! | best friend / All the best!,,
ма́стер,master,мастер своего дела | an expert at one’s job,,
секрета́рь (m),secretary,секретарь директора | director’s secretary,,
стена́,wall,стены дома | walls of a house,,
ока́зываться/оказа́ться (+inst),to turn out (to be) / to find oneself,"Оказалось, что он уже вернулся | It turned out that he had already returned",,
сын (pl сыновья́),son,его сыновья / пять сыновей | his sons / five sons,,
брат,brother,мой братья / пять братьев | my brothers / five brothers,,
заче́м,"why, for what",Зачем он пришёл? | Why has he come?,,
игра́ть/сыгра́ть,to play,Они играют в футбол | They are playing football,,
институ́т,institute / institution,у нас в институте | at our institute,,
пя́тый,fifth,пятый автобус | No. 5 bus,,
ра́ньше,earlier,Он приедет раньше нас | He will arrive before us,,
ти́хо,quiet,В саду было тихо | It was quiet in the garden,,
чёрный,black,чёрный хлеб | black bread,,
вели́кий,great,Пётр Великий | Peter the Great,,
за́втра,tomorrow,Завтра будет собрание | There will be a meeting tomorrow,,
широ́кий,wide,широкие улицы | wide streets,,
мало́ (+g),few / not much,мало книг | few books,,
наконе́ц,in the end,Наконец она узнала правду | In the end she learned the truth,,
плечо́,shoulder,плечи | shoulders,,
ра́зве,really,Разве он здесь? | Is he really here?,,
ра́зве… не,surely,Разве вы не знаете? | Surely you know?,,
снег,snow,в снегу | in the snow,,
бу́дущий,future (adj),в будущем году | next year,,
се́рдце,heart,с лёгким сердцем | with a light heart,,
тру́дно,(it is) difficult,Трудно её найти | It is difficult to find her,,
язы́к,language / tongue,на русском языке | in Russian,,
приходи́ть/прийти́,to arrive (on foot),Приходите к нам | Come and see us / Я пришёл первым | I arrived first,,
ру́сский,Russian / a Russian,русская песня | Russian song,,
неда́вно,recently,Он был здесь недавно | He was here recently,,
сове́тский,Soviet (adj),Советский Союз | Soviet Union,,
не́который,"some, a certain",до некоторой степени | to a certain extent,,
продолжа́ть/продо́лжить,to continue,Продолжайте! | Go on!,,
член,member,член клуба | club member,,
поэ́тому,consequently,"Я занят, поэтому не приду | I’m busy so I won’t come",,
замеча́ть/заме́тить (+a),to notice,Никто не заметит | No one will notice,,
кварти́ра,"flat, apartment",В квартире три комнаты | The flat has three rooms,,
уме́ть/с- (+inf),"to know how to / be able to, manage to","Его отец умеет говорить на пяти языках | His father can speak five languages. p: сумею, сумеешь",,
свет,light / world,солнечный свет / вокруг света | sunlight / round the world,,
наза́д,"back, ago",смотреть назад / два года (тому) назад | to look back / two years ago,,
шко́льник,schoolboy,три школьника | three schoolboys,,
домо́й,"home, homewards",Мы идём домой | We are going home,,
пра́во,right / law,иметь право / изучать право | to have the right / to study law,,
си́льный,"strong, powerful",сильные руки | strong hands,,
сре́дний,middle / average,мужчина средних лет | a middle-aged man,,
да́льше,further,Читайте дальше! | Read on!,,
зада́ча,"task, problem",трудная задача | difficult task,,
бежа́ть/по-,to run,"я бегу, ты бежишь, они бегут | I run, you run, they run",,
ве́тер,wind,сильные ветры | strong winds,,
помога́ть/помо́чь (+d),to help (s.o.),Он будет помогать нам | He will be helping us / Я тебе помогу / Ты поможешь мне | I shall help you / You will help me,,
сло́вно,as if,словно он уже был там | as if he had already been there,,
дорого́й,"dear, expensive",дорогие книги | expensive books,,
исто́рия,history / story,история России | history of Russia,,
молча́ть/за-,to be silent / p: to fall silent,"я молчу, ты молчишь | I say nothing, you say nothing / p: замолчу, замолчишь",,
со́лнце,sun,сидеть на солнце | nothing to sit in the sun,,
до́ма,at home,Павел дома? | Is Pavel at home?,,
мо́ре,sea,открытое море / моря | the open sea / seas,,
огро́мный,enormous,У него огромная квартира | He has an enormous flat,,
учени́к,pupil,ученики школы No. 5 | the pupils of school no. 5,,
чу́вство,feeling,чувство юмора | sense of humour,,
петь/с- (+a),to sing,"я пою, ты поёшь | I sing, you sing / p спою, споёшь",,
борьба́,struggle,борьба за власть | struggle for power,,
речь (f),speech,выступить с речью | to make a speech / русская речь | Russian speech (=spoken Russian),,
е́хать/по-,to go (by transport),"Я еду на машине, а ты едешь на автобусе | I’m going by car, and you’re going by bus / я поеду, ты поедешь | I’ll go, you’ll go",,
хлеб,bread,много хлеба | a lot of bread,,
движе́ние,"movement, motion",уличное движение | son to the park traffic,,
пра́здник,"holiday, festival",праздник Первого мая | May Day holiday,,
внима́ние,attention,обращать внимание на +а | to pay attention to/note,,
счита́ть/счесть,(+a +inst) consider (sth / s.o. to be sth),"Я считаю это нужным | I consider this necessary /p сочту, сочтёшь, past счёл, сочла",,
счита́ть/со-,to count,считать до десяти | to count to ten,,
иногда́,sometimes,Он иногда помогает мне | He sometimes helps me,,
крича́ть/за-,to shout,"я кричу, ты кричишь | I shout, you shout / p: закричу, закричишь",,
фа́брика,factory,Он работает на новой фабрике | He works at the new factory,,
успева́ть/успе́ть (+inf),"to have time, to be in time",Вы успеете это сделать? | Will you have time to do this?,,
действи́тельно,"really, actually",Это действительно так | It really is so,,
и́менно,"namely, exactly",Где именно? | Where exactly?,,
о́бщий,general (adj),общее собрание / в общем | general meeting / in general,,
вся́кий,any,во всяком случае | in any case,,
дире́ктор,director,директор завода / директора | factory manager / managers,,
краси́вый,beautiful,красивая девушка | beautiful girl,,
но́мер,number / hotel room,номера | numbers,,
о́коло (+g),near / about,"около дома / около тысячи рублей | near the house / about 1,000 roubles",,
па́рень (m),"lad, boy",Все парни считают её красивой | All the boys think her beautiful,,
хозя́йство,economy,народное хозяйство | national economy,,
вокру́г (+g),around,вокруг света | around the world,,
душа́,soul,русская душа / от всей Души | Russian soul / with all one’s heart,,
четвёртый,fourth,в четвёртом номере журнала | in the fourth number of the journal,,
шесть,six,шесть учеников | six pupils,,
поднима́ть/подня́ть (+a),"to raise, lift",Я подниму руку / Ты поднимешь этот вопрос? | I shall raise my hand / Will you raise this question?,,
взгляд,"look, view",с первого взгляда | at first sight,,
инжене́р,engineer,шесть инженеров | six engineers,,
та́кже,as well,"Иван, а также Борис | Ivan and also Boris",,
тяжёлый,heavy,тяжёлая промышленность | heavy industry,,
цвето́к (pl цветы́),flower,два цветка / красивые цветы | two flowers / nice flowers,,
брать/взять (+a),to take,"i Я беру книгу, а ты берёшь газету | I take a book, and you take a paper / p Я возьму такси / Ты возьмёшь эту книгу? | I shall take a taxi / Will you take this book?",,
ви́дно,"evident, visible",Конца ещё не видно | The end is not yet in sight,,
во́здух,air,в воздухе | in the air,,
давно́,(since) long ago,Мы давно здесь | We have been here a long time,,
забыва́ть/забы́ть (+a or o +pr),to forget,"p Я забуду его, ты тоже забудешь о нём | I’ll forget him, you’ll forget about him too",,
и́з-за (+g),from behind / because of,из-за дождя | because of the rain,,
о́пыт,experience / experiment,По опыту знаю | I know by experience,,
звать/по- (+a),to call (s.o.) / summon,"Как вас зовут? Он зовёт на помощь | What is your name? He is calling for help / p позову, позовёшь",,
стро́йка,building / building site,работать на стройке | to work on a building site,,
жена́,wife,жёны | wives,,
молоко́,milk,бутылка молока | bottle of milk,,
ста́вить/по- (+a),"to place, put (in a standing position)","i: ставлю, ставишь / Я поставлю машину здесь / Он поставит бутылку на стол | I will park my car here / He will put the bottle on the table",,
одна́ко,however,"Однако, он забыл | However, he forgot",,
у́гол,corner,Он стоит на углу | He is standing at the corner,,
бума́га,paper,писать на красной бумаге | to write on red paper,,
принима́ть/приня́ть (+a),"to take, accept, receive",Президент примет его завтра / Я приму меры | The president will see him tomorrow / I shall take measures,,
дли́нный,long,длинная улица | long street,,
заня́тие,occupation / (pl) classes,занятия в университете | university studies,,
чи́стый,"clean, pure",чистые руки | clean hands,,
сади́ться/сесть,to sit down / get into (transport),"я сажусь, ты садишься | I sit down, you sit down / я сяду, ты сядешь / Сядем на автобус | I’ll sit down, you’ll sit down / Let’s take a bus",,
