Infinitive,вчи́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вчи́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вчи́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вчи́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вчи́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вчи́тываюсь
2nd Sing,вчи́тываешься
3rd Sing,вчи́тывается
1st Pl,вчи́тываемся
2nd Pl,вчи́тываетесь
3rd Pl,вчи́тываются
Past M,вчи́тывался
Past F,вчи́тывалась
Past N,вчи́тывалось
Past PL,вчи́тывались
Imp S,вчи́тывайся
Imp PL,вчи́тывайтесь
