Infinitive,шара́хнуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,шара́хнувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,шара́хнувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,шара́хнусь
2nd Sing,шара́хнешься
3rd Sing,шара́хнется
1st Pl,шара́хнемся
2nd Pl,шара́хнетесь
3rd Pl,шара́хнутся
Past M,шара́хнулся
Past F,шара́хнулась
Past N,шара́хнулось
Past PL,шара́хнулись
Imp S,шара́хнись
Imp PL,шара́хнитесь
