Infinitive,шара́хаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,шара́хающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шара́хавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шара́хаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шара́хавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,шара́хаюсь
2nd Sing,шара́хаешься
3rd Sing,шара́хается
1st Pl,шара́хаемся
2nd Pl,шара́хаетесь
3rd Pl,шара́хаются
Past M,шара́хался
Past F,шара́халась
Past N,шара́халось
Past PL,шара́хались
Imp S,шара́хайся
Imp PL,шара́хайтесь
