Infinitive,ша́ркнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ша́ркнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ша́ркнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ша́ркнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ша́ркну
2nd Sing,ша́ркнешь
3rd Sing,ша́ркнет
1st Pl,ша́ркнем
2nd Pl,ша́ркнете
3rd Pl,ша́ркнут
Past M,ша́ркнул
Past F,ша́ркнула
Past N,ша́ркнуло
Past PL,ша́ркнули
Imp S,ша́ркни
Imp PL,ша́ркните
