Infinitive,ша́ркать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ша́ркающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ша́ркавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ша́ркая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ша́ркав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ша́ркавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ша́ркаю
2nd Sing,ша́ркаешь
3rd Sing,ша́ркает
1st Pl,ша́ркаем
2nd Pl,ша́ркаете
3rd Pl,ша́ркают
Past M,ша́ркал
Past F,ша́ркала
Past N,ша́ркало
Past PL,ша́ркали
Imp S,ша́ркай
Imp PL,ша́ркайте
