Infinitive,шара́хнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,шара́хнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,шара́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шара́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,шара́хнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,шара́хну
2nd Sing,шара́хнешь
3rd Sing,шара́хнет
1st Pl,шара́хнем
2nd Pl,шара́хнете
3rd Pl,шара́хнут
Past M,шара́хнул
Past F,шара́хнула
Past N,шара́хнуло
Past PL,шара́хнули
Imp S,шара́хни
Imp PL,шара́хните
