Infinitive,шагну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,шагну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,шагну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,шагну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,шагну́
2nd Sing,шагнёшь
3rd Sing,шагнёт
1st Pl,шагнём
2nd Pl,шагнёте
3rd Pl,шагну́т
Past M,шагну́л
Past F,шагну́ла
Past N,шагну́ло
Past PL,шагну́ли
Imp S,шагни́
Imp PL,шагни́те
