Infinitive,шата́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,шата́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шата́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шата́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шата́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,шата́юсь
2nd Sing,шата́ешься
3rd Sing,шата́ется
1st Pl,шата́емся
2nd Pl,шата́етесь
3rd Pl,шата́ются
Past M,шата́лся
Past F,шата́лась
Past N,шата́лось
Past PL,шата́лись
Imp S,шата́йся
Imp PL,шата́йтесь
