Infinitive,очути́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,очути́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,очути́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
2nd Sing,очу́тишься
3rd Sing,очу́тится
1st Pl,очу́тимся
2nd Pl,очу́титесь
3rd Pl,очу́тятся
Past M,очути́лся
Past F,очути́лась
Past N,очути́лось
Past PL,очути́лись
Imp S,очути́сь
Imp PL,очути́тесь
