Infinitive,очища́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,очища́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,очища́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,очища́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,очища́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,очища́юсь
2nd Sing,очища́ешься
3rd Sing,очища́ется
1st Pl,очища́емся
2nd Pl,очища́етесь
3rd Pl,очища́ются
Past M,очища́лся
Past F,очища́лась
Past N,очища́лось
Past PL,очища́лись
Imp S,очища́йся
Imp PL,очища́йтесь
