Infinitive,очерти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,очерти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оче́рченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,очерти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,очерти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,очерчу́
2nd Sing,оче́ртишь
3rd Sing,оче́ртит
1st Pl,оче́ртим
2nd Pl,оче́ртите
3rd Pl,оче́ртят
Past M,очерти́л
Past F,очерти́ла
Past N,очерти́ло
Past PL,очерти́ли
Imp S,очерти́
Imp PL,очерти́те
