Infinitive,очи́стить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,очи́стивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,очи́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,очи́стив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,очи́стивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,очи́щу
2nd Sing,очи́стишь
3rd Sing,очи́стит
1st Pl,очи́стим
2nd Pl,очи́стите
3rd Pl,очи́стят
Past M,очи́стил
Past F,очи́стила
Past N,очи́стило
Past PL,очи́стили
Imp S,очи́сти
Imp PL,очи́стите
