Infinitive,очуме́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,очуме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,очуме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,очуме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,очуме́ю
2nd Sing,очуме́ешь
3rd Sing,очуме́ет
1st Pl,очуме́ем
2nd Pl,очуме́ете
3rd Pl,очуме́ют
Past M,очуме́л
Past F,очуме́ла
Past N,очуме́ло
Past PL,очуме́ли
Imp S,очуме́й
Imp PL,очуме́йте
